experiment_id,date,model_file,history_file,duration_seconds,actual_epochs,best_valid_acc,final_test_accuracy,test_margin_error,final_train_loss,args
20251212_090225,2025-12-12 09:05:14,outputs\models\gcn_arxiv_20251212_090225.pth,outputs\logs\history_20251212_090225.json,168.94,294,0.7254605859257022,0.716457831821081,0.004007086137015071,0.9221360087394714,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'use_jk': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_090514,2025-12-12 09:08:07,outputs\models\gcn_arxiv_20251212_090514.pth,outputs\logs\history_20251212_090514.json,173.21,313,0.7250243296754925,0.7167458798839578,0.004005855261231635,0.9156363010406494,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'use_jk': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_090807,2025-12-12 09:15:20,outputs\models\gcn_arxiv_20251212_090807.pth,outputs\logs\history_20251212_090807.json,432.61,527,0.7326420349676164,0.7168899039153962,0.004005239067470358,0.8587425351142883,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'use_jk': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_091520,2025-12-12 09:23:52,outputs\models\gcn_arxiv_20251212_091520.pth,outputs\logs\history_20251212_091520.json,512.43,638,0.7310983590053357,0.7195029113429212,0.003993971759663823,0.8800317049026489,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'use_jk': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_092353,2025-12-12 09:28:13,outputs\models\gcn_arxiv_20251212_092353.pth,outputs\logs\history_20251212_092353.json,260.98,505,0.7361992013154803,0.7262514659588915,0.00396409400714152,0.7949137091636658,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'use_jk': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_092813,2025-12-12 09:32:26,outputs\models\gcn_arxiv_20251212_092813.pth,outputs\logs\history_20251212_092813.json,252.72,496,0.731836638813383,0.72497582453758,0.003969828368931344,0.8245768547058105,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'use_jk': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_093226,2025-12-12 09:37:10,outputs\models\gcn_arxiv_20251212_093226.pth,outputs\logs\history_20251212_093226.json,283.95,353,0.7325413604483372,0.7187622163240952,0.003997182579128219,0.8239416480064392,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'use_jk': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_093710,2025-12-12 09:40:30,outputs\models\gcn_arxiv_20251212_093710.pth,outputs\logs\history_20251212_093710.json,199.71,250,0.7264673311184939,0.7147706931670884,0.004014255165844705,0.916727602481842,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': True, 'use_jk': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_094030,2025-12-12 10:01:53,outputs\models\gcn_arxiv_20251212_094030.pth,outputs\logs\history_20251212_094030.json,1282.89,443,0.7321722205443135,0.7193383124498488,0.0039946864362495815,0.8490045070648193,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'use_jk': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_100153,2025-12-12 10:22:12,outputs\models\gcn_arxiv_20251212_100153.pth,outputs\logs\history_20251212_100153.json,1219.54,436,0.7303600791972885,0.7260868670658189,0.003964836213676022,0.849779486656189,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'use_jk': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_102212,2025-12-12 11:53:31,outputs\models\gcn_arxiv_20251212_102212.pth,outputs\logs\history_20251212_102212.json,5478.71,481,0.7315010570824524,0.717198526839907,0.00400391695407454,0.8413925170898438,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'use_jk': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_115331,2025-12-12 12:55:12,outputs\models\gcn_arxiv_20251212_115331.pth,outputs\logs\history_20251212_115331.json,3700.59,352,0.7260646330413772,0.7184124436763163,0.003998694133599867,0.9332919716835022,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'use_jk': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_125512,2025-12-12 13:02:27,outputs\models\gcn_arxiv_20251212_125512.pth,outputs\logs\history_20251212_125512.json,435.07,431,0.7371052719889929,0.7240705306256815,0.003973873260816289,0.7480672597885132,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'use_jk': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_130227,2025-12-12 13:09:21,outputs\models\gcn_arxiv_20251212_130227.pth,outputs\logs\history_20251212_130227.json,413.83,415,0.7327427094868956,0.7251404234306524,0.003969090737711759,0.77558434009552,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'use_jk': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_130921,2025-12-12 13:42:35,outputs\models\gcn_arxiv_20251212_130921.pth,outputs\logs\history_20251212_130921.json,1994.55,320,0.7353266888150609,0.7191737135567763,0.003995400449025161,0.7829726934432983,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'use_jk': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_134235,2025-12-12 14:07:01,outputs\models\gcn_arxiv_20251212_134235.pth,outputs\logs\history_20251212_134235.json,1465.8,240,0.7266351219839592,0.7160051848651318,0.0040090163017876415,0.8682071566581726,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'use_jk': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_140701,2025-12-12 14:13:53,outputs\models\gcn_arxiv_20251212_140701.pth,outputs\logs\history_20251212_140701.json,412.25,571,0.7297224739085204,0.7216221220912289,0.003984710848268815,0.9117452502250671,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'use_jk': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_141353,2025-12-12 14:18:23,outputs\models\gcn_arxiv_20251212_141353.pth,outputs\logs\history_20251212_141353.json,269.35,377,0.7266351219839592,0.717939221858733,0.0040007344217126714,0.8974605798721313,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'use_jk': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_141823,2025-12-12 14:49:15,outputs\models\gcn_arxiv_20251212_141823.pth,outputs\logs\history_20251212_141823.json,1852.63,465,0.7285479378502634,0.7156142624940848,0.004010679265268289,0.9164204597473145,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'use_jk': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_144915,2025-12-12 15:07:58,outputs\models\gcn_arxiv_20251212_144915.pth,outputs\logs\history_20251212_144915.json,1122.67,285,0.7243867243867244,0.7163755323745448,0.00400743744579159,0.9495858550071716,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'use_jk': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_150758,2025-12-12 15:13:22,outputs\models\gcn_arxiv_20251212_150758.pth,outputs\logs\history_20251212_150758.json,324.24,483,0.7352595724688747,0.7237001831162685,0.00397552210676788,0.8186174035072327,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'use_jk': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_151322,2025-12-12 15:17:14,outputs\models\gcn_arxiv_20251212_151322.pth,outputs\logs\history_20251212_151322.json,231.35,347,0.7313332662169871,0.7200995823303088,0.0039913754868361765,0.8537395596504211,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'use_jk': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_151714,2025-12-12 15:26:19,outputs\models\gcn_arxiv_20251212_151714.pth,outputs\logs\history_20251212_151714.json,545.16,488,0.734823316218665,0.719811534267432,0.003992629950648388,0.811704158782959,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'use_jk': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_152619,2025-12-12 15:31:21,outputs\models\gcn_arxiv_20251212_152619.pth,outputs\logs\history_20251212_152619.json,302.02,266,0.7264337729454009,0.7149147171985268,0.004013645863811531,0.9016291499137878,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'use_jk': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_153121,2025-12-12 17:03:51,outputs\models\gcn_arxiv_20251212_153121.pth,outputs\logs\history_20251212_153121.json,5550.23,609,0.7279438907345884,0.7187210666008271,0.003997360564289634,0.9319601058959961,"{'num_layers': 4, 'hidden_dim': 512, 'use_residual': True, 'use_jk': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_170351,2025-12-12 18:12:25,outputs\models\gcn_arxiv_20251212_170351.pth,outputs\logs\history_20251212_170351.json,4114.25,448,0.7283465888117051,0.7109437689031541,0.004030262438079976,0.9009838104248047,"{'num_layers': 4, 'hidden_dim': 512, 'use_residual': True, 'use_jk': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251212_181225,2025-12-12 22:27:25,outputs\models\gcn_arxiv_20251212_181225.pth,outputs\logs\history_20251212_181225.json,15299.99,848,0.7301922883318233,0.7124868835257083,0.004023850167367096,0.9101372957229614,"{'num_layers': 4, 'hidden_dim': 512, 'use_residual': True, 'use_jk': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251212_222725,2025-12-13 02:03:56,outputs\models\gcn_arxiv_20251212_222725.pth,outputs\logs\history_20251212_222725.json,12990.18,700,0.7329440585254539,0.7159434602802296,0.004009279121119508,0.8896465301513672,"{'num_layers': 4, 'hidden_dim': 512, 'use_residual': True, 'use_jk': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251213_020356,2025-12-13 02:25:33,outputs\models\gcn_arxiv_20251213_020356.pth,outputs\logs\history_20251213_020356.json,1297.16,424,0.7374744118930165,0.727177334732424,0.003959906427166553,0.7518442869186401,"{'num_layers': 4, 'hidden_dim': 512, 'use_residual': True, 'use_jk': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251213_022533,2025-12-13 02:41:07,outputs\models\gcn_arxiv_20251213_022533.pth,outputs\logs\history_20251213_022533.json,934.7,307,0.7290513104466593,0.7207579779025987,0.003988500485048281,0.8029509782791138,"{'num_layers': 4, 'hidden_dim': 512, 'use_residual': True, 'use_jk': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251213_024107,2025-12-13 04:09:45,outputs\models\gcn_arxiv_20251213_024107.pth,outputs\logs\history_20251213_024107.json,5317.16,444,0.7363334340078526,0.7189062403555336,0.0039965593049196,0.7370907068252563,"{'num_layers': 4, 'hidden_dim': 512, 'use_residual': True, 'use_jk': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251213_040945,2025-12-13 05:04:48,outputs\models\gcn_arxiv_20251213_040945.pth,outputs\logs\history_20251213_040945.json,3303.77,277,0.7310983590053357,0.7210871756887435,0.003987058984174443,0.8696895241737366,"{'num_layers': 4, 'hidden_dim': 512, 'use_residual': True, 'use_jk': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
